"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","bundesland","land","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"BLDAM / M. Ismail-Weber 2018","Q897952","11001","110","Elsterwerda - 28","Elsterwerda","Elbe-Elster","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","328","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.54","51.47","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","29813","84","Buchhain - 7","Buchhain","Elbe-Elster","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","329","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.39","51.66","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12579","183","Hertefeld - 1","Hertefeld","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","332","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.87","52.65","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12890","451","Vietznitz - 4","Vietznitz","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","333","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.66","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12853","396","Schönwalde - 30","Schönwalde","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","334","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.1","52.6","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12920","455","Wagenitz - 6","Wagenitz","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","336","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.64","52.65","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19409","127","Friedrichsbruch - 3","Friedrichsbruch","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","337","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.39","52.8","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19784","364","Rathenow - 20","Rathenow","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","338","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.34","52.6","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19863","365","Rathenow-Neue Schleuse - 9","Rathenow-Neue Schleuse","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","339","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.31","52.61","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","20003","425","Strodehne - 1","Strodehne","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","340","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.23","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12832","397","Schönwalde - 9","Schönwalde","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","341","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.13","52.61","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","24720","85","Buckow - 4","Buckow","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","342","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.27","52.59","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12929","459","Wansdorf - 7","Wansdorf","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","343","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.07","52.63","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","20021","426","Strodehne - 19","Strodehne","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","344","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.24","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","19895","378","Rübehorst - 1","Rübehorst","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","345","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.33","52.8","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12897","450","Vietznitz - 11","Vietznitz","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","346","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.63","52.74","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12954","481","Wustermark - 2","Wustermark","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","347","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.95","52.54","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","12585","194","Hoppenrade - 2","Hoppenrade","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","348","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.94","52.52","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","59396","369","Rhinow - 32","Rhinow","Havelland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","349","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.36","52.77","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","21600","297","Münchehofe - 3","Münchehofe","Märkisch-Oderland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","350","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.12","52.56","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","34683","126","Friedersdorf - 6","Friedersdorf","Märkisch-Oderland","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","351","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.39","52.51","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7659","244","Krewelin - 2","Krewelin","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","352","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.41","52.95","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7547","21","Badingen - 4","Badingen","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","353","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.25","53.02","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7770","497","Zehdenick - 3","Zehdenick","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","354","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.32","52.95","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14928","414","Sommerfeld - 7","Sommerfeld","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","355","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.05","52.79","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14954","433","Teschendorf - 5","Teschendorf","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","356","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.17","52.86","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","33359","498","Zehdenick - 33","Zehdenick","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","357","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.36","53.02","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14655","41","Birkenwerder - 14","Birkenwerder","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","358","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.25","52.69","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14648","42","Birkenwerder - 7","Birkenwerder","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","359","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.27","52.69","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7568","87","Burgwall - 1","Burgwall","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","360","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.31","53.05","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","28695","22","Badingen - 7","Badingen","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","361","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.25","53.01","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","14698","142","Germendorf - 3","Germendorf","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","362","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.19","52.75","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","33363","208","Kappe - 8","Kappe","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","363","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.42","52.95","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","7670","243","Krewelin - 13","Krewelin","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","364","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.38","52.94","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","57790","315","Oranienburg - 42","Oranienburg","Oberhavel","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","365","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.25","52.75","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","38850","256","Leipe - 1","Leipe","Oberspreewald-Lausitz","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","366","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.04","51.86","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","3406","268","Lübbenau - 5","Lübbenau","Oberspreewald-Lausitz","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","367","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.97","51.87","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","1342","373","Rieplos - 3","Rieplos","Oder-Spree","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","368","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.9","52.31","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","6606","131","Fürstenwalde - 5","Fürstenwalde","Oder-Spree","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","369","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.05","52.36","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","6614","133","Fürstenwalde-Süd - 5","Fürstenwalde-Süd","Oder-Spree","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","370","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.09","52.33","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","27512","431","Tempelberg - 17","Tempelberg","Oder-Spree","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","371","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","14.14","52.45","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","34518","404","Schwerin - 11","Schwerin","Oder-Spree","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","372","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","13.86","52.19","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10442","477","Wusterhausen (Dosse) - 12","Wusterhausen (Dosse)","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","373","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.49","52.92","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10636","238","Kötzlin - 9","Kötzlin","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","374","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.22","52.91","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10554","105","Dreetz - 14","Dreetz","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","375","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.43","52.78","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10687","253","Kyritz - 36","Kyritz","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","376","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.41","52.98","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10715","263","Lohm - 12","Lohm","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","377","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.31","52.87","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10781","374","Roddahn - 8","Roddahn","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","378","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.29","52.83","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
"BLDAM / M. Ismail-Weber 2018","Q897952","10888","478","Wusterhausen (Dosse) - 34","Wusterhausen (Dosse)","Ostprignitz-Ruppin","Brandenburg","Deutschland","Mesolithikum","Einzelfund","Q1144458","","","unbek.","Q59496158","0","379","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden 2018 von Maha Ismail-Weber beim BLDAM angefragt und übernommen","12.46","52.89","-8000","+/- 100 years","-4000","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","http://n2t.net/ark:/99152/p0s2rwk5zjw","relatedMatch",""
